,continentEnglishName,countryName,countryEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount
9629,Europe,匈牙利,Hungary,226,0.0,21,10
9630,South America,乌拉圭,Uruguay,189,0.0,0,0
9631,Europe,安道尔,Andorra,185,0.0,1,1
9632,Europe,圣马力诺,San Marino,187,0.0,2,20
9633,Africa,摩洛哥,Morocco,170,0.0,6,5
9634,North America,哥斯达黎加,Costa Rica,158,0.0,0,2
9635,Asia,科威特,Kuwait,195,0.0,43,0
9636,Asia,约旦,Jordan,153,0.0,1,0
9637,Europe,北马其顿,North Macedonia,136,0.0,1,2
9638,Europe,波黑,Bosnia and Herzegovina,131,0.0,2,1
9639,Asia,越南,Vietnam,141,0.0,17,0
9640,Europe,摩尔多瓦,Moldova,125,0.0,1,1
9641,Asia,塞浦路斯,Cyprus,124,0.0,0,1
9642,Europe,法罗群岛,Faroe,118,0.0,0,0
9643,Africa,突尼斯,Tunisia,114,0.0,0,3
9644,Europe,阿尔巴尼亚,Albania,123,0.0,10,4
9645,Europe,乌克兰,Ukraine,113,0.0,1,4
9646,Europe,马耳他,Malta,107,0.0,0,0
9647,Africa,布基纳法索,Burkina Faso,114,0.0,5,4
9648,Asia,文莱,Brunei,109,0.0,4,0
9649,Asia,斯里兰卡,SriLanka,100,0.0,1,0
9650,Africa,肯尼亚,Kenya,28,0.0,1,0
9652,Europe,法国,France,22300,0.0,3201,1100
9653,Europe,英国,United Kingdom,8077,0.0,135,422
9654,Europe,荷兰,Netherlands,6412,0.0,0,356
9655,Europe,奥地利,Austria,4876,0.0,9,28
9657,Europe,葡萄牙,Portugal,2362,0.0,22,29
9669,South America,厄瓜多尔,Ecuador,790,0.0,0,15
9717,Asia,阿塞拜疆,Azerbaijan,93,0.0,10,2
9718,Asia,叙利亚,Syria,4,0.0,0,0
9719,Africa,利比亚,Libya,1,0.0,0,0
9725,Asia,印度尼西亚,Indonesia,790,0.0,9,58
9731,Africa,加纳,Ghana,68,0.0,0,2
9757,Asia,哈萨克斯坦,Kazakstan,80,0.0,2,0
9762,Europe,瑞典,Sweden,2272,0.0,17,36
9766,Europe,丹麦,Denmark,1591,0.0,1,32
9771,Asia,日本,Japan,1277,0.0,285,44
9779,Europe,希腊,Greece,743,0.0,19,20
9782,Asia,菲律宾,Philippines,636,0.0,26,38
